27 53
16 122
16 120
16 99
16 118
16 96
16 97
16 98
16 100
16 101
16 109
16 103
16 111
16 105
16 107
16 113
96 50
49 18
50 19
51 20
52 21
53 23
54 22
55 26
56 28
57 25
48 29
45 27
61 24
8 51
5 114
1 115
11 116
27 71
61 81
47 75
42 67
9 48
113 12
119 13
101 14
114 15
116 17
121 16
117 32
105 34
111 31
112 35
91 33
93 30
92 42
127 117
4 119
12 121
55 89
56 91
57 92
45 78
97 0
115 1
100 2
102 3
103 5
104 4
106 38
107 40
108 37
59 41
39 39
13 36
52 86
53 87
54 88
43 69
122 6
120 7
99 8
118 9
98 11
110 45
109 46
44 43
46 47
47 44
30 126
49 83
50 84
51 85
51 85
46 65
48 82
3 76
29 124
28 123
28 123
31 125
32 49
90 6
26 6
-67 6
